Samplers,Date,Fish #,Tag #,Recap?,Section #,Species,Gear,Length ,Weight (g),Age,Size Class,Sex,Stomach?,Salmon total,Coho,Sockeye,UI Salmon,Stickleback ,Sculpin,Longnose Sucker,Pike,Burbot,Lamprey,UI Fish,Scud,Dragon Fly,Water tiger,Damsel Fly,Caddis Fly,Stonefly,Mayfly,Chironomid,Beetle,Spider,Wasp,Clam/mussel,Snail,Leech,Water Boatman,White worm,Roundworm,Worm,Moth,Maggot,UI Invert,Mammal,Bird,Eggs,Other (specify),Total Inverts,Comments
PB EH JJ,6/18/2019,1471,,,2,NP,Gillnet,,,,,F,Y,5,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
PB EH,6/19/2019,1472,2113,R,1,NP,Gillnet,569,1349,,> 310,M,Y,,,,,2,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,3,
PB EH,6/19/2019,1473,2112,R,1,NP,Gillnet,553,1204,,> 310,F,Y,,,,,,,,,,,,,20,,,,,,,,,,,,1,,,,,,,,,,,,21,
PB EH,6/19/2019,1474,,,1,NP,Gillnet,292,229,,< 310,U,Y,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
PB EH,6/19/2019,1475,,,1,NP,Gillnet,278,161,,< 310,M,Y,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,
PB EH,6/19/2019,1476,,,1,NP,Gillnet,338,309,,> 310,F,Y,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
PB EH,6/19/2019,1477,,,1,NP,Gillnet,296,190,,< 310,M,Y,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,,6,
PB EH,6/19/2019,1478,,,1,NP,Gillnet,291,181,,< 310,F,Y,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
PB EH,6/19/2019,1479,,,1,NP,Gillnet,276,153,,< 310,F,Y,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
PB EH,6/19/2019,1480,,,1,NP,Gillnet,305,240,,< 310,F,Y,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
PB EH,6/19/2019,1481,,,1,NP,Gillnet,322,268,,> 310,F,Y,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,
PB EH,6/19/2019,1482,,,1,NP,Gillnet,296,202,,< 310,M,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
