PERMIT,HARVDATE,LOCATION,TANNER,USE,,OLD_NAME
1153297,1/4/2017,E,3,SPORT,,E
1153297,1/9/2017,E,3,SPORT,,E
1153297,1/22/2017,E,3,SPORT,,E
1153297,1/23/2017,E,3,SPORT,,E
1153306,1/17/2017,E,3,SPORT,,E
1153415,1/16/2017,E,1,SPORT,,E
1153415,1/19/2017,E,3,SPORT,,E
1153524,1/20/2017,E,3,SPORT,,E
1153960,2/3/2017,E,3,SPORT,,E
1154015,1/18/2017,E,2,SPORT,,E
1154233,1/22/2017,E,3,SPORT,,E
1154233,1/23/2017,E,3,SPORT,,E
1154342,1/18/2017,E,3,SPORT,,E
1154560,1/18/2017,E,3,SPORT,,E
1154778,2/9/2017,E,3,SPORT,,E
1154778,2/10/2017,E,3,SPORT,,E
1154778,2/11/2017,E,3,SPORT,,E
1154778,2/16/2017,E,3,SPORT,,E
1154778,2/17/2017,E,3,SPORT,,E
1154778,2/18/2017,E,3,SPORT,,E
1154887,1/19/2017,E,3,SPORT,,E
1154887,1/20/2017,E,2,SPORT,,E
1154887,1/26/2017,E,0,SPORT,,E
1154996,1/19/2017,E,3,SPORT,,E
1154996,1/20/2017,E,2,SPORT,,E
1155179,1/19/2017,E,0,SPORT,,E
1155179,2/27/2017,E,0,SPORT,,E
1155397,2/7/2017,E,3,SPORT,,E
1155397,2/9/2017,E,3,SPORT,,E
1155397,2/17/2017,E,3,SPORT,,E
1155397,2/21/2017,E,3,SPORT,,E
1155406,1/23/2017,E,3,SPORT,,E
1155406,1/24/2017,E,3,SPORT,,E
1155515,1/28/2017,E,1,SPORT,,515935
1155624,1/22/2017,E,0,SPORT,,E
1155733,1/22/2017,E,0,SPORT,,E
1155951,2/10/2017,E,3,SPORT,,E
1155951,2/11/2017,E,3,SPORT,,E
1156006,2/10/2017,E,3,SPORT,,E
1156006,2/11/2017,E,3,SPORT,,E
1156115,1/22/2017,E,3,SPORT,,3
1156224,1/22/2017,E,3,SPORT,,E
1156224,1/23/2017,E,3,SPORT,,E.
1156224,1/25/2017,E,3,SPORT,,E.
1156333,1/27/2017,E,3,SPORT,,3
1156442,1/23/2017,E,3,SPORT,,E
1156551,1/23/2017,E,3,SPORT,,E
1156769,1/27/2017,E,0,SPORT,,E
1156878,1/25/2017,E,3,SPORT,,E
1157061,2/6/2017,E,3,SPORT,,E
1157279,1/25/2017,E,3,SPORT,,E
1157388,1/25/2017,E,3,SPORT,,E
1157506,2/10/2017,,2,SPORT,,X
1157615,2/6/2017,E,3,SPORT,,E
1157942,1/27/2017,E,3,SPORT,,E
1158651,2/21/2017,E,3,SPORT,,E
1158760,1/26/2017,,6,SPORT,,CHARTER
1158978,1/25/2017,E,3,SPORT,,E
1159052,1/26/2017,E,3,SPORT,,E
1159052,1/27/2017,E,3,SPORT,,E
1159161,1/26/2017,E,3,SPORT,,E
1159161,2/3/2017,E,3,SPORT,,E
1159161,2/16/2017,E,3,SPORT,,E
1159270,2/6/2017,E,3,SPORT,,E
1159379,2/3/2017,E,3,SPORT,,E
1159488,1/28/2017,E,3,SPORT,,E
1159488,1/29/2017,E,3,SPORT,,E
1159715,1/28/2017,E,3,SPORT,,E
1159715,1/29/2017,E,3,SPORT,,E
1159933,1/28/2017,E,2,SPORT,,E
1159933,1/29/2017,E,1,SPORT,,E
1160061,2/3/2017,E,3,SPORT,,E
1160061,2/11/2017,E,3,SPORT,,E
1160061,2/27/2017,E,3,SPORT,,E
1160497,2/7/2017,E,3,SPORT,,E
1160506,2/7/2017,E,3,SPORT,,E
1160615,1/28/2017,E,3,SPORT,,E
1160724,1/28/2017,E,3,SPORT,,E
1160833,1/28/2017,E,3,SPORT,,E
1160942,1/28/2017,E,3,SPORT,,E
1161097,2/11/2017,E,3,SPORT,,E
1161106,2/11/2017,E,3,SPORT,,E
1161651,2/1/2017,E,3,SPORT,,E
1162142,2/3/2017,E,3,SPORT,,E
1162142,2/17/2017,E,3,SPORT,,E
1162251,2/3/2017,E,3,SPORT,,E
1162251,2/17/2017,E,3,SPORT,,E
1162360,1/5/2017,E,3,SPORT,,E
1162360,1/25/2017,E,3,SPORT,,E
1162360,1/27/2017,E,3,SPORT,,E
1162360,1/29/2017,E,3,SPORT,,E
1162360,1/30/2017,E,3,SPORT,,E
1162360,2/5/2017,E,3,SPORT,,E
1162360,2/17/2017,E,3,SPORT,,E
1162360,2/18/2017,E,3,SPORT,,E
1162360,2/28/2017,E,0,SPORT,,E
1162360,12/29/2017,E,0,SPORT,,E
1162469,2/3/2017,E,3,SPORT,,E
1162578,1/21/2017,E,3,SPORT,,E
1162687,2/2/2017,E,3,SPORT,,E
1162796,2/3/2017,E,3,SPORT,,KACHEMAK BAY OUT OF HOMER
1162914,2/15/2017,E,3,SPORT,,E
1163088,42787,,3,SPORT,,HOMER
1163424,2/5/2017,E,3,SPORT,,AREA E
1163424,2/27/2017,E,1,SPORT,,AREA E
1163424,2/28/2017,E,0,SPORT,,AREA E
1163533,2/6/2017,E,3,SPORT,,E
1163642,2/26/2017,E,3,SPORT,,E
1164133,2/9/2017,E,3,SPORT,,E
1164242,2/9/2017,E,3,SPORT,,E
1164678,2/9/2017,E,3,SPORT,,E
1164787,2/7/2017,E,3,SPORT,,E
1164896,2/7/2017,E,3,SPORT,,E
1164905,2/6/2017,,4,SPORT,,LOWER COOK INLET
1165079,2/7/2017,E,3,SPORT,,E
1165188,2/8/2017,,3,SPORT,,COOK INLET
1165297,2/7/2017,E,3,SPORT,,E
1165297,2/14/2017,E,3,SPORT,,E
1165306,2/9/2017,E,3,SPORT,,E
1165851,2/9/2017,E,0,SPORT,,E
1165851,2/10/2017,E,0,SPORT,,E
1165851,2/11/2017,E,3,SPORT,,E
1165960,2/11/2017,E,2,SPORT,,E
1166342,2/10/2017,E,3,SPORT,,E
1166342,2/11/2017,E,3,SPORT,,E
1166451,2/9/2017,E,3,SPORT,,E
1166451,2/12/2017,E,3,SPORT,,E
1166451,2/19/2017,E,3,SPORT,,E
1166560,2/9/2017,E,3,SPORT,,E
1166560,2/12/2017,E,3,SPORT,,E
1166669,2/11/2017,E,3,SPORT,,E
1166778,2/12/2017,,3,SPORT,,HOMER
1166887,2/10/2017,E,3,SPORT,,E
1166996,2/10/2017,E,3,SPORT,,E
1167070,2/10/2017,A,3,SPORT,,3A
1167179,2/17/2017,,3,SPORT,,HOMER
1167288,2/10/2017,E,3,SPORT,,E
1167406,2/28/2017,E,3,SPORT,,515935
