PERMIT,HARVDATE,RED,KING,COHO,PINK,CHUM,FLOUNDER,FISHERY
536,7/22/2016,8,0,0,0,0,0,KENAI
537,7/16/2016,2,0,0,0,0,0,KASILOF
541,7/23/2016,28,1,0,0,0,0,KENAI
542,7/23/2016,4,0,0,0,0,0,KENAI
543,7/23/2016,0,0,0,0,0,0,KENAI
545,7/23/2016,8,0,0,0,0,0,KENAI
545,7/24/2016,10,0,0,0,0,0,KENAI
546,7/23/2016,21,0,0,0,0,0,KENAI
549,7/24/2016,5,0,0,1,0,0,KENAI
555,7/23/2016,0,0,0,0,0,0,KENAI
556,7/28/2016,0,0,0,0,0,0,KENAI
556,7/29/2016,0,0,0,0,0,0,KENAI
557,7/23/2016,0,0,0,0,0,0,KENAI
557,7/24/2016,14,0,0,0,0,0,KENAI
558,7/23/2016,12,0,0,0,0,0,KENAI
558,7/24/2016,10,1,0,0,0,0,KENAI
562,7/23/2016,15,0,0,0,0,0,KENAI
564,7/23/2016,7,0,0,0,0,0,KENAI
567,7/28/2016,16,0,0,1,0,0,KENAI
569,7/24/2016,23,0,0,0,0,0,KENAI
571,7/23/2016,31,0,0,0,0,0,KENAI
