"","permit","fishery","red","king","coho","pink","chum","flounder","mailing","status","city"
"216",796,"KENAI",60,0,0,5,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"217",798,"KASILOF DIPNET",0,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"218",798,"KENAI",0,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"219",799,"KASILOF DIPNET",1,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"220",799,"KENAI",0,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"221",802,"KENAI",13,0,0,1,0,0,0,"HARVEST REPORTED","KASILOF"
"222",803,"KASILOF DIPNET",14,0,0,0,0,0,1,"HARVEST REPORTED","GIRDWOOD"
"223",804,"KENAI",18,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"224",805,"KASILOF DIPNET",8,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"225",806,"KASILOF DIPNET",9,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"226",806,"KENAI",24,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"227",810,"KENAI",20,0,0,1,0,0,0,"HARVEST REPORTED","EAGLE RIVER"
"228",812,"KENAI",25,0,0,0,0,0,2,"HARVEST REPORTED","EAGLE RIVER"
"229",817,"KENAI",11,0,0,3,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"230",818,"KENAI",11,0,0,0,0,0,0,"HARVEST REPORTED","WILLOW"
"231",820,"KENAI",24,0,0,0,0,0,0,"HARVEST REPORTED","CHUGIAK"
"232",821,"KASILOF DIPNET",33,0,0,2,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"233",822,"KASILOF DIPNET",22,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"234",825,"KENAI",10,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"235",827,"KENAI",13,0,0,0,0,0,1,"HARVEST REPORTED","EAGLE RIVER"
"236",828,"KENAI",10,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"237",831,"KENAI",75,0,0,0,0,0,0,"HARVEST REPORTED","FAIRBANKS"
"238",834,"KENAI",10,0,0,1,0,0,0,"HARVEST REPORTED","EAGLE RIVER"
"239",835,"KASILOF DIPNET",0,0,0,3,0,0,0,"HARVEST REPORTED",""
"240",836,"KASILOF DIPNET",21,0,0,1,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"241",836,"KENAI",4,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"242",840,"KASILOF DIPNET",1,0,0,0,0,0,0,"HARVEST REPORTED","JBER"
"243",842,"KENAI",15,0,0,0,0,0,0,"HARVEST REPORTED","EIELSON AFB"
"244",851,"KENAI",6,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"245",854,"KENAI",5,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"246",855,"KASILOF DIPNET",3,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"247",856,"KASILOF DIPNET",10,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"248",856,"KENAI",0,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"249",857,"KENAI",29,0,0,0,0,0,0,"HARVEST REPORTED","CHUGIAK"
"250",858,"KASILOF DIPNET",10,0,0,0,0,0,0,"HARVEST REPORTED","PALMER"
"251",861,"KENAI",3,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"252",865,"KENAI",6,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"253",866,"KENAI",4,0,0,3,0,0,0,"HARVEST REPORTED","EAGLE RIVER"
"254",867,"KASILOF DIPNET",20,0,10,0,0,0,1,"HARVEST REPORTED","EAGLE RIVER"
"255",869,"KENAI",0,0,0,0,0,0,0,"HARVEST REPORTED","EAGLE RIVER"
"256",872,"KENAI",0,0,0,0,0,0,2,"HARVEST REPORTED","JBER"
"257",875,"FISH CREEK",0,0,0,0,0,0,0,"HARVEST REPORTED","EAGLE RIVER"
"258",876,"KENAI",4,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"259",877,"KASILOF DIPNET",7,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"260",878,"KASILOF DIPNET",0,0,0,14,0,0,2,"HARVEST REPORTED","EAGLE RIVER"
"261",882,"FISH CREEK",10,0,1,0,0,0,0,"HARVEST REPORTED","JBER"
"262",882,"KENAI",3,0,0,0,0,0,0,"HARVEST REPORTED","JBER"
"263",884,"FISH CREEK",25,0,2,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"264",885,"KASILOF DIPNET",1,0,0,0,0,0,0,"HARVEST REPORTED","JBER"
"265",887,"KASILOF DIPNET",25,0,3,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"266",891,"KASILOF DIPNET",50,0,0,2,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"267",892,"FISH CREEK",23,0,6,0,0,0,0,"HARVEST REPORTED","CHUGIAK"
"268",1301,"KENAI",17,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"269",1302,"KENAI",10,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"270",1303,"KASILOF DIPNET",8,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"271",1305,"KASILOF DIPNET",58,1,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"272",1306,"KASILOF DIPNET",6,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"273",1308,"KENAI",30,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"274",1310,"KENAI",15,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"275",1312,"KENAI",44,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"276",1314,"KENAI",11,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"277",1320,"KENAI",19,0,0,1,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"278",1321,"KASILOF DIPNET",20,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"279",1323,"KENAI",14,0,0,0,0,1,0,"HARVEST REPORTED","ANCHORAGE"
"280",1401,"KASILOF DIPNET",13,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"281",1701,"KENAI",11,0,0,9,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"282",1705,"KASILOF DIPNET",7,0,0,0,0,0,0,"HARVEST REPORTED","PALMER"
"283",1711,"KENAI",8,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
