"","city","permits_issued","permits_returned","permits_not_returned","permits_fished","no_return_but_fished","fishery","red","king","coho","pink","chum","flounder","exp_reds","exp_kings","exp_coho","exp_pink","exp_chum","exp_flounder"
"282","TOGIAK",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"283","TOK",4,4,0,1,0,"KASILOF DIPNET",12,0,0,0,0,0,12,0,0,0,0,0
"284","TOK",4,4,0,1,0,"KENAI",10,0,0,0,0,0,10,0,0,0,0,0
"285","TRAPPER CREEK",20,18,2,14,1.37,"FISH CREEK",14,0,0,0,0,0,15,0,0,0,0,0
"286","TRAPPER CREEK",20,18,2,14,1.37,"KASILOF DIPNET",89,0,0,1,0,1,98,0,0,1,0,1.09785714285714
"287","TRAPPER CREEK",20,18,2,14,1.37,"KASILOF GILLNET",19,0,0,0,0,0,21,0,0,0,0,0
"288","TRAPPER CREEK",20,18,2,14,1.37,"KENAI",86,0,0,6,0,0,94,0,0,7,0,0
"289","TUCSON",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"290","TWO RIVERS",3,3,0,2,0,"KENAI",30,0,0,4,0,0,30,0,0,4,0,0
"291","UNALAKLEET",2,2,0,2,0,"KASILOF DIPNET",5,0,0,0,0,0,5,0,0,0,0,0
"292","UNALAKLEET",2,2,0,2,0,"KENAI",16,0,0,5,0,1,16,0,0,5,0,1
"293","UNALASKA",1,0,1,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
"294","VALDEZ",21,16,5,13,3.42,"KASILOF DIPNET",123,0,0,0,0,0,155,0,0,0,0,0
"295","VALDEZ",21,16,5,13,3.42,"KASILOF GILLNET",8,0,0,0,0,2,10,0,0,0,0,2.52615384615385
"296","VALDEZ",21,16,5,13,3.42,"KENAI",95,0,0,3,0,0,120,0,0,4,0,0
"297","VALDOSTA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"298","WASILLA",3127,2425,702,1910,480.56,"FISH CREEK",8160,0,817,381,81,0,10213,0,1023,477,101,0
"299","WASILLA",3127,2425,702,1910,480.56,"KASILOF DIPNET",9803,0,77,234,21,103,12269,0,96,293,26,128.915015706806
"300","WASILLA",3127,2425,702,1910,480.56,"KASILOF GILLNET",1478,13,0,0,0,8,1850,16,0,0,0,10.0128167539267
"301","WASILLA",3127,2425,702,1910,480.56,"KENAI",14423,0,47,798,59,176,18052,0,59,999,74,220.281968586387
"302","WASILLA",3127,2425,702,1910,480.56,"UNKNOWN",278,0,3,9,0,5,348,0,4,11,0,6.25801047120419
"303","WHITTIER",5,5,0,4,0,"KASILOF DIPNET",25,0,0,0,0,0,25,0,0,0,0,0
"304","WHITTIER",5,5,0,4,0,"KENAI",23,0,0,0,0,0,23,0,0,0,0,0
"305","WILLOW",115,90,25,77,17.11,"FISH CREEK",109,0,4,1,0,0,133,0,5,1,0,0
"306","WILLOW",115,90,25,77,17.11,"KASILOF DIPNET",663,0,0,5,1,0,810,0,0,6,1,0
"307","WILLOW",115,90,25,77,17.11,"KASILOF GILLNET",56,0,0,0,0,1,68,0,0,0,0,1.22220779220779
"308","WILLOW",115,90,25,77,17.11,"KENAI",576,0,12,27,7,10,704,0,15,33,9,12.2220779220779
"309","WILLOW",115,90,25,77,17.11,"UNKNOWN",22,0,0,3,0,0,27,0,0,4,0,0
"310","YAKUTAT",2,0,2,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0
"311","YELM",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
